Ran for I = 107.933, e0=0.003, amp=0.064
Ran for I = 107.973, e0=0.003, amp=0.064
Ran for I = 108.013, e0=0.003, amp=0.064
Ran for I = 108.053, e0=0.003, amp=0.064
Ran for I = 108.093, e0=0.003, amp=0.064
Ran for I = 108.133, e0=0.003, amp=0.063
Ran for I = 108.173, e0=0.003, amp=0.063
Ran for I = 108.213, e0=0.003, amp=0.065
Ran for I = 108.253, e0=0.003, amp=0.065
Ran for I = 108.293, e0=0.003, amp=0.065
Ran for I = 108.333, e0=0.003, amp=0.065
Ran for I = 108.373, e0=0.003, amp=0.065
Ran for I = 108.413, e0=0.003, amp=0.065
Ran for I = 108.453, e0=0.003, amp=0.065
Ran for I = 108.493, e0=0.003, amp=0.065
Ran for I = 108.534, e0=0.003, amp=0.065
Ran for I = 108.574, e0=0.003, amp=0.065
Ran for I = 108.614, e0=0.003, amp=0.065
Ran for I = 108.654, e0=0.003, amp=0.066
Ran for I = 108.694, e0=0.003, amp=0.066
Ran for I = 108.734, e0=0.003, amp=0.066
Ran for I = 108.774, e0=0.003, amp=0.066
Ran for I = 108.814, e0=0.003, amp=0.066
Ran for I = 108.854, e0=0.003, amp=0.066
Ran for I = 108.894, e0=0.003, amp=0.066
Ran for I = 108.934, e0=0.003, amp=0.066
Ran for I = 108.974, e0=0.003, amp=0.066
Ran for I = 109.014, e0=0.003, amp=0.066
Ran for I = 109.054, e0=0.003, amp=0.066
Ran for I = 109.094, e0=0.003, amp=0.066
Ran for I = 109.134, e0=0.003, amp=0.066
Ran for I = 109.174, e0=0.003, amp=0.067
Ran for I = 109.214, e0=0.003, amp=0.067
Ran for I = 109.254, e0=0.003, amp=0.067
Ran for I = 109.294, e0=0.003, amp=0.067
Ran for I = 109.334, e0=0.003, amp=0.067
Ran for I = 109.374, e0=0.003, amp=0.067
Ran for I = 109.414, e0=0.003, amp=0.067
Ran for I = 109.454, e0=0.003, amp=0.067
Ran for I = 109.494, e0=0.003, amp=0.067
Ran for I = 109.535, e0=0.003, amp=0.068
Ran for I = 109.575, e0=0.003, amp=0.067
Ran for I = 109.615, e0=0.003, amp=0.068
Ran for I = 109.655, e0=0.003, amp=0.068
Ran for I = 109.695, e0=0.003, amp=0.068
Ran for I = 109.735, e0=0.003, amp=0.068
Ran for I = 109.775, e0=0.003, amp=0.068
Ran for I = 109.815, e0=0.003, amp=0.068
Ran for I = 109.855, e0=0.003, amp=0.068
Ran for I = 109.895, e0=0.003, amp=0.068
Ran for I = 109.935, e0=0.003, amp=0.068
Ran for I = 109.975, e0=0.003, amp=0.069
Ran for I = 110.015, e0=0.003, amp=0.069
Ran for I = 110.055, e0=0.003, amp=0.069
Ran for I = 110.095, e0=0.003, amp=0.069
Ran for I = 110.135, e0=0.003, amp=0.069
Ran for I = 110.175, e0=0.003, amp=0.069
Ran for I = 110.215, e0=0.003, amp=0.069
Ran for I = 110.255, e0=0.003, amp=0.069
Ran for I = 110.295, e0=0.003, amp=0.069
Ran for I = 110.335, e0=0.003, amp=0.069
Ran for I = 110.375, e0=0.003, amp=0.070
Ran for I = 110.415, e0=0.003, amp=0.070
Ran for I = 110.455, e0=0.003, amp=0.070
Ran for I = 110.495, e0=0.003, amp=0.070
Ran for I = 110.536, e0=0.003, amp=0.070
Ran for I = 110.576, e0=0.003, amp=0.070
Ran for I = 110.616, e0=0.003, amp=0.070
Ran for I = 110.656, e0=0.003, amp=0.070
Ran for I = 110.696, e0=0.003, amp=0.070
Ran for I = 110.736, e0=0.003, amp=0.071
Ran for I = 110.776, e0=0.003, amp=0.071
Ran for I = 110.816, e0=0.003, amp=0.071
Ran for I = 110.856, e0=0.003, amp=0.071
Ran for I = 110.896, e0=0.003, amp=0.071
Ran for I = 110.936, e0=0.003, amp=0.071
Ran for I = 110.976, e0=0.003, amp=0.071
Ran for I = 111.016, e0=0.003, amp=0.071
Ran for I = 111.056, e0=0.003, amp=0.071
Ran for I = 111.096, e0=0.003, amp=0.071
Ran for I = 111.136, e0=0.003, amp=0.072
Ran for I = 111.176, e0=0.003, amp=0.072
Ran for I = 111.216, e0=0.003, amp=0.072
Ran for I = 111.256, e0=0.003, amp=0.072
Ran for I = 111.296, e0=0.003, amp=0.072
Ran for I = 111.336, e0=0.003, amp=0.072
Ran for I = 111.376, e0=0.003, amp=0.072
Ran for I = 111.416, e0=0.003, amp=0.072
Ran for I = 111.456, e0=0.003, amp=0.072
Ran for I = 111.496, e0=0.003, amp=0.073
Ran for I = 111.537, e0=0.003, amp=0.073
Ran for I = 111.577, e0=0.003, amp=0.073
Ran for I = 111.617, e0=0.003, amp=0.073
Ran for I = 111.657, e0=0.003, amp=0.073
Ran for I = 111.697, e0=0.003, amp=0.073
Ran for I = 111.737, e0=0.003, amp=0.073
Ran for I = 111.777, e0=0.003, amp=0.073
Ran for I = 111.817, e0=0.003, amp=0.074
Ran for I = 111.857, e0=0.003, amp=0.074
Ran for I = 111.897, e0=0.003, amp=0.074
Ran for I = 111.937, e0=0.003, amp=0.074
