Ran for I = 109.775, e0=0.003, amp=6.453
Ran for I = 109.815, e0=0.003, amp=6.447
Ran for I = 109.855, e0=0.003, amp=6.488
Ran for I = 109.895, e0=0.003, amp=6.508
Ran for I = 109.935, e0=0.003, amp=6.526
Ran for I = 109.975, e0=0.003, amp=6.544
Ran for I = 110.015, e0=0.003, amp=6.563
Ran for I = 110.055, e0=0.003, amp=6.582
Ran for I = 110.095, e0=0.003, amp=6.599
Ran for I = 110.135, e0=0.003, amp=6.617
Ran for I = 110.175, e0=0.003, amp=6.637
Ran for I = 110.215, e0=0.003, amp=6.655
Ran for I = 110.255, e0=0.003, amp=6.673
Ran for I = 110.295, e0=0.003, amp=6.691
Ran for I = 110.335, e0=0.003, amp=6.709
Ran for I = 110.375, e0=0.003, amp=6.727
Ran for I = 110.415, e0=0.003, amp=6.747
Ran for I = 110.455, e0=0.003, amp=6.764
Ran for I = 110.495, e0=0.003, amp=6.775
Ran for I = 110.536, e0=0.003, amp=6.796
Ran for I = 110.576, e0=0.003, amp=6.817
Ran for I = 110.616, e0=0.003, amp=6.838
Ran for I = 110.656, e0=0.003, amp=6.845
Ran for I = 110.696, e0=0.003, amp=6.874
Ran for I = 110.736, e0=0.003, amp=6.892
Ran for I = 110.776, e0=0.003, amp=6.910
Ran for I = 110.816, e0=0.003, amp=6.928
Ran for I = 110.856, e0=0.003, amp=6.947
Ran for I = 110.896, e0=0.003, amp=6.964
Ran for I = 110.936, e0=0.003, amp=6.982
Ran for I = 110.976, e0=0.003, amp=7.000
Ran for I = 111.016, e0=0.003, amp=7.018
Ran for I = 111.056, e0=0.003, amp=7.035
Ran for I = 111.096, e0=0.003, amp=7.053
Ran for I = 111.136, e0=0.003, amp=7.066
Ran for I = 111.176, e0=0.003, amp=7.089
Ran for I = 111.216, e0=0.003, amp=6.911
Ran for I = 111.256, e0=0.003, amp=7.123
Ran for I = 111.296, e0=0.003, amp=7.141
Ran for I = 111.336, e0=0.003, amp=7.158
Ran for I = 111.376, e0=0.003, amp=7.175
Ran for I = 111.416, e0=0.003, amp=7.192
Ran for I = 111.456, e0=0.003, amp=7.206
Ran for I = 111.496, e0=0.003, amp=7.226
Ran for I = 111.537, e0=0.003, amp=7.240
Ran for I = 111.577, e0=0.003, amp=7.260
Ran for I = 111.617, e0=0.003, amp=7.275
Ran for I = 111.657, e0=0.003, amp=7.293
Ran for I = 111.697, e0=0.003, amp=7.309
Ran for I = 111.737, e0=0.003, amp=7.325
Ran for I = 111.777, e0=0.003, amp=7.340
Ran for I = 111.817, e0=0.003, amp=7.356
Ran for I = 111.857, e0=0.003, amp=7.372
Ran for I = 111.897, e0=0.003, amp=7.388
Ran for I = 111.937, e0=0.003, amp=7.403
Ran for I = 111.977, e0=0.003, amp=7.038
Ran for I = 112.017, e0=0.003, amp=7.423
Ran for I = 112.057, e0=0.003, amp=7.449
Ran for I = 112.097, e0=0.003, amp=7.460
Ran for I = 112.137, e0=0.003, amp=7.477
Ran for I = 112.177, e0=0.003, amp=7.491
Ran for I = 112.217, e0=0.003, amp=7.505
Ran for I = 112.257, e0=0.003, amp=7.518
Ran for I = 112.297, e0=0.003, amp=7.532
Ran for I = 112.337, e0=0.003, amp=7.545
Ran for I = 112.377, e0=0.003, amp=7.554
Ran for I = 112.417, e0=0.003, amp=7.570
Ran for I = 112.457, e0=0.003, amp=7.578
Ran for I = 112.497, e0=0.003, amp=7.594
Ran for I = 112.538, e0=0.003, amp=7.605
Ran for I = 112.578, e0=0.003, amp=7.616
Ran for I = 112.618, e0=0.003, amp=7.627
Ran for I = 112.658, e0=0.003, amp=7.637
Ran for I = 112.698, e0=0.003, amp=7.646
Ran for I = 112.738, e0=0.003, amp=7.655
Ran for I = 112.778, e0=0.003, amp=7.651
Ran for I = 112.818, e0=0.003, amp=7.672
Ran for I = 112.858, e0=0.003, amp=7.665
Ran for I = 112.898, e0=0.003, amp=7.687
Ran for I = 112.938, e0=0.003, amp=7.686
Ran for I = 112.978, e0=0.003, amp=7.699
Ran for I = 113.018, e0=0.003, amp=7.705
Ran for I = 113.058, e0=0.003, amp=7.708
Ran for I = 113.098, e0=0.003, amp=7.713
Ran for I = 113.138, e0=0.003, amp=7.714
Ran for I = 113.178, e0=0.003, amp=7.713
Ran for I = 113.218, e0=0.003, amp=7.719
Ran for I = 113.258, e0=0.003, amp=7.719
Ran for I = 113.298, e0=0.003, amp=7.717
Ran for I = 113.338, e0=0.003, amp=7.717
Ran for I = 113.378, e0=0.003, amp=7.713
Ran for I = 113.418, e0=0.003, amp=7.711
Ran for I = 113.458, e0=0.003, amp=7.707
Ran for I = 113.498, e0=0.003, amp=7.606
Ran for I = 113.539, e0=0.003, amp=7.694
Ran for I = 113.579, e0=0.003, amp=7.685
Ran for I = 113.619, e0=0.003, amp=7.675
Ran for I = 113.659, e0=0.003, amp=7.664
Ran for I = 113.699, e0=0.003, amp=7.648
Ran for I = 113.739, e0=0.003, amp=7.634
Ran for I = 113.779, e0=0.003, amp=7.617
Ran for I = 113.819, e0=0.003, amp=7.602
Ran for I = 113.859, e0=0.003, amp=7.530
Ran for I = 113.899, e0=0.003, amp=7.560
Ran for I = 113.939, e0=0.003, amp=7.534
Ran for I = 113.979, e0=0.003, amp=7.509
Ran for I = 114.019, e0=0.003, amp=7.477
Ran for I = 114.059, e0=0.003, amp=7.448
Ran for I = 114.099, e0=0.003, amp=7.416
Ran for I = 114.139, e0=0.003, amp=7.306
Ran for I = 114.179, e0=0.003, amp=7.338
Ran for I = 114.219, e0=0.003, amp=7.297
Ran for I = 114.259, e0=0.003, amp=7.250
Ran for I = 114.299, e0=0.003, amp=7.202
Ran for I = 114.339, e0=0.003, amp=7.147
Ran for I = 114.379, e0=0.003, amp=7.093
Ran for I = 114.419, e0=0.003, amp=7.031
Ran for I = 114.459, e0=0.003, amp=6.963
Ran for I = 114.499, e0=0.003, amp=6.896
Ran for I = 114.540, e0=0.003, amp=6.821
Ran for I = 114.580, e0=0.003, amp=6.742
Ran for I = 114.620, e0=0.003, amp=6.631
